Company Name,Listing Status,Ticker
Empresas CMPC,Listed,CMPC.SN
Apple Inc.,Listed,AAPL.O
Lululemon Athletica Inc.,Listed,LULU.O
Azul Sa,Listed,AZUL.N
Novartis,Listed,NOVN.S
"Marriott International, Inc.",Listed,MAR.O
Chocoladefabriken Lindt & Sprüngli AG,Listed,LISN.S
adidas AG,Listed,ADSGn.DE
ServiceNow Inc,Listed,NOW.N
Cushman & Wakefield,Listed,CWK.N
Vodafone Group,Listed,VOD.L
Panasonic Holdings Corporation,Listed,6752.T
Orkla ASA,Listed,ORK.OL
Deutsche Post DHL Group,Listed,DPWGn.DE
Wacker Chemie AG,Listed,WCHG.DE
Cementos Argos SA,Listed,CEARGOS.CN
CVS Health,Listed,CVS.N
Stantec Inc.,Listed,STN.TO
Domino's Pizza Group plc,Listed,DOM.L
Mettler-Toledo International Inc.,Listed,MTD
Oracle Corporation,Listed,ORCL.N
thyssenkrupp AG,Listed,TKAG.DE
ITV,Listed,ITV.L
Johnson Controls International plc,Listed,JCI.N
Intuit Inc.,Listed,INTU.O
Lojas Renner S.A.,Listed,LREN3.SA
Koninklijke Philips NV,Listed,PHG.AS
Reckitt Benckiser,Listed,RB.L
Charles River Laboratories International Inc.,Listed,CRL.N
Unilever plc,Listed,ULVR.L
Brown-Forman Corporation,Listed,BFb
Faurecia,Listed,EPED.PA
Akamai Technologies Inc,Listed,AKAM.O
E.ON SE,Listed,EONGn.DE
Beiersdorf AG,Listed,BEIG.DE
Virgin Group,Listed,VIII_u.K
Berkeley Group,Listed,BKGH.L
Capgemini SE,Listed,CAPP.PA
Wipro,Listed,WIPR.NS
Morgan Sindall Group plc,Listed,MGNS.L
Sony Group Corporation,Listed,6758.T
Stora Enso Oyj,Listed,STERV.HE
Tesco,Listed,TSCO.L
GSK,Listed,GSK.L
Husqvarna AB,Listed,HUSQb.ST
CEMEX,Listed,CX.N
SAP SE,Listed,SAPG.DE
Orange,Listed,ORAN.PA
"Becton, Dickinson and Co.",Listed,BDX.N
37 Interactive Entertainment,Listed,002555.SZ
STMicroelectronics International NV,Listed,STM.PA
Snap Inc.,Listed,SNAP.N
Cognizant Technology Solutions Corp.,Listed,CTSH.O
Hon Hai Precision Industry,Listed,2317.TW
Xerox Corporation,Listed,XRX.N
EDF,Listed,EDF.PA
Dentsu International,Listed,4324.T
UPM-Kymmene Corporation,Listed,UPM.HE
Givaudan SA,Listed,GIVN.S
Barratt Developments plc,Listed,BDEV.L
Nestlé,Listed,NESN.S
Novo Nordisk A/S,Listed,NOVO
United Airlines Holdings,Listed,UAL.O
NIKE Inc.,Listed,NKE.N
Kingspan Group PLC,Listed,KRX.IR
FirstGroup PLC,Listed,FGP.L
Gap Inc.,Listed,GPS.N
"Yum! Brands, Inc.",Listed,YUM.N
Accor,Listed,ACCP.PA
MITIE Group,Listed,MTO.L
"Grupo Bimbo, S.A.B. de C.V.",Listed,BIMBOA.MX
Applied Materials Inc.,Listed,AMAT.O
SKF,Listed,SKFb.ST
BT Group,Listed,BT.L
Aramark Corporation,Listed,ARMK.N
Xylem Inc,Listed,XYL.N
Tokyu Fudosan Holdings Corporation,Listed,3289.T
Mars,Listed,6419.T
Clorox Company,Listed,CLX.N
Atlantia,Listed,ATL.MI
Skanska AB,Listed,SKAb.ST
Vestas Wind Systems A/S,Listed,VWS.CO
Colliers International Group Inc,Listed,CIGI.TO
AENA SME SA,Listed,AENA.MC
AstraZeneca,Listed,AZN.L
Krones AG,Listed,KRN.DE
ManpowerGroup,Listed,MAN.N
Trane Technologies,Listed,TT.N
Danone,Listed,DANO.PA
BRF S.A,Listed,BRFS3.SA
Cogeco Inc.,Listed,CGO.TO
General Mills Inc.,Listed,GIS.N
Jacobs Engineering Group Inc.,Listed,J.N
Starbucks Corporation,Listed,SBUX.O
Boston Scientific Corporation,Listed,BSX
Veolia Environnement SA,Listed,VIE.PA
Rexel,Listed,RXL.PA
DS Smith Plc,Listed,SMDS.L
Bureau Veritas,Listed,BVI.PA
Epiroc AB,Listed,EPIRa.ST
