Company Name,Ticker
Empresas CMPC,CMPC.SN
Apple Inc.,AAPL
Lululemon Athletica Inc.,LULU
Azul Sa,AZUL
Novartis,NVS
"Marriott International, Inc.",MAR
Chocoladefabriken Lindt & Sprüngli AG,LISN.SW
adidas AG,ADS.DE
ServiceNow Inc,NOW
Cushman & Wakefield,CWK
Vodafone Group,VOD
Panasonic Holdings Corporation,PCRFY
Orkla ASA,ORK.OL
Deutsche Post DHL Group,DPW.DE
Wacker Chemie AG,WCH.DE
Cementos Argos SA,CMTOY
CVS Health,CVS
Stantec Inc.,STN.TO
Domino's Pizza Group plc,DOM.L
Mettler-Toledo International Inc.,MTD
Oracle Corporation,ORCL
thyssenkrupp AG,TKA.DE
ITV,ITV.L
Johnson Controls International plc,JCI
Intuit Inc.,INTU
Lojas Renner S.A.,LREN3.SA
Koninklijke Philips NV,PHIA.AS
Reckitt Benckiser,RBGLY
Charles River Laboratories International Inc.,CRL
Unilever plc,UL
Brown-Forman Corporation,BF-B
Faurecia,EO.PA
Akamai Technologies Inc,AKAM
E.ON SE,EOAN.DE
Beiersdorf AG,BEI.DE
Virgin Group,
Berkeley Group,BKG.L
Capgemini SE,CAP.PA
Wipro,WIPRO.NS
Morgan Sindall Group plc,MGNS.L
Sony Group Corporation,SONY
Stora Enso Oyj,STERV.HE
Tesco,TSCO.L
GSK,GSK.L
Husqvarna AB,HUSQ-B.ST
CEMEX,CX
SAP SE,SAP
Orange,ORAN
"Becton, Dickinson and Co.",BDX
37 Interactive Entertainment,002555.SZ
STMicroelectronics International NV,STM
Snap Inc.,SNAP
Cognizant Technology Solutions Corp.,CTSH
Hon Hai Precision Industry,2317.TW
Xerox Corporation,XRX
EDF,EDF.PA
Dentsu International,4324.T
UPM-Kymmene Corporation,UPM.HE
Givaudan SA,GIVN.SW
Barratt Developments plc,BDEV.L
Nestlé,NSRGF
Novo Nordisk A/S,NVO
United Airlines Holdings,UAL
NIKE Inc.,NKE
Kingspan Group PLC,KGP.L
FirstGroup PLC,FGP.L
Gap Inc.,GPS
"Yum! Brands, Inc.",YUM
Accor,AC.PA
MITIE Group,MTO.L
"Grupo Bimbo, S.A.B. de C.V.",BIMBOA.MX
Applied Materials Inc.,AMAT
SKF,SKF-B.ST
BT Group,BT-A.L
Aramark Corporation,ARMK
Xylem Inc,XYL
Tokyu Fudosan Holdings Corporation,3289.T
Mars,
Clorox Company,CLX
Atlantia,
Skanska AB,SKA-B.ST
Vestas Wind Systems A/S,VWS.CO
Colliers International Group Inc,CIGI
AENA SME SA,AENA.MC
AstraZeneca,AZN
Krones AG,KRN.DE
ManpowerGroup,MAN
Trane Technologies,TT
Danone,BN.PA
BRF S.A,BRFS
Cogeco Inc.,CGO.TO
General Mills Inc.,GIS
Jacobs Engineering Group Inc.,J
Starbucks Corporation,SBUX
Boston Scientific Corporation,BSX
Veolia Environnement SA,VIE.PA
Rexel,RXL.PA
DS Smith Plc,SMDS.L
Bureau Veritas,BVI.PA
Epiroc AB,EPI-B.ST
